,Input state,Input Size,Insertion,Bubble,Selection,Heap,Merge,Shell,Shaker,Radix,Flash,Count,Binary Insertion
0,rand,1000,0.08577,0.19249,0.05585,0.01296,0.01596,0.00899,0.15858,0.79688,0.08677,0.00199,0.05784
1,rand,3000,0.77393,1.29653,0.747,0.03291,0.03391,0.03092,1.27958,2.35571,0.70811,0.00499,0.68424
2,rand,10000,11.70373,33.36122,7.80814,0.18251,0.22142,0.16955,14.76274,10.48699,9.77588,0.01197,4.7902
3,min,1000,0.0,0.13963,0.13963,0.01297,0.01297,0.01197,0.0,1.10405,0.00698,0.00199,0.01396
4,min,3000,0.002,1.24068,1.15932,0.07281,0.06782,0.02294,0.00099,3.52857,0.02892,0.00499,0.03491
5,min,10000,0.00698,11.54868,6.08195,0.13464,0.10572,0.0379,0.00199,7.69244,0.06084,0.02094,0.06483
6,max,1000,0.22141,0.27327,0.10971,0.00997,0.01995,0.00499,0.37201,1.40026,0.18152,0.00299,0.07579
7,max,3000,1.49301,2.0206,0.47673,0.02494,0.05685,0.03291,2.00963,2.33377,1.25066,0.00399,0.69016
8,max,10000,14.30378,21.88693,14.66583,0.2224,0.25233,0.08776,24.93588,6.70209,13.2606,0.01396,6.14757
